category,subcategory,xAxis,value,color
Jacobi,In-Clinic Wait Time,20131205,9,#d3e0f2
Jacobi,In-Clinic Wait Time,20131206,96,#2563bf
Jacobi,In-Clinic Wait Time,20131207,20,#6691d2
Jacobi,In-Clinic Wait Time,20131208,29,#a8c1e5
Jacobi,In-Clinic Wait Time,20131209,44,#2563bf
Jacobi,In-Clinic Wait Time,20131210,93,#6691d2
Jacobi,In-Clinic Wait Time,20131211,68,#d3e0f2
Jacobi,In-Clinic Wait Time,20131212,94,#d3e0f2
Jacobi,In-Clinic Wait Time,20131213,11,#a8c1e5
Jacobi,In-Clinic Wait Time,20131214,78,#d3e0f2
Jacobi,In-Clinic Wait Time,20131215,60,#2563bf
Jacobi,In-Clinic Wait Time,20131216,65,#2563bf
Jacobi,In-Clinic Wait Time,20131217,71,#a8c1e5
Jacobi,In-Clinic Wait Time,20131218,42,#2563bf
Jacobi,Patient Satisfaction,20131205,59,#d3e0f2
Jacobi,Patient Satisfaction,20131206,27,#a8c1e5
Jacobi,Patient Satisfaction,20131207,23,#2563bf
Jacobi,Patient Satisfaction,20131208,37,#2563bf
Jacobi,Patient Satisfaction,20131209,38,#6691d2
Jacobi,Patient Satisfaction,20131210,62,#d3e0f2
Jacobi,Patient Satisfaction,20131211,19,#d3e0f2
Jacobi,Patient Satisfaction,20131212,24,#2563bf
Jacobi,Patient Satisfaction,20131213,20,#6691d2
Jacobi,Patient Satisfaction,20131214,81,#a8c1e5
Jacobi,Patient Satisfaction,20131215,83,#d3e0f2
Jacobi,Patient Satisfaction,20131216,54,#a8c1e5
Jacobi,Patient Satisfaction,20131217,11,#d3e0f2
Jacobi,Patient Satisfaction,20131218,97,#d3e0f2
Jacobi,Total Patients Seen,20131205,25,#2563bf
Jacobi,Total Patients Seen,20131206,9,#6691d2
Jacobi,Total Patients Seen,20131207,73,#a8c1e5
Jacobi,Total Patients Seen,20131208,55,#6691d2
Jacobi,Total Patients Seen,20131209,92,#6691d2
Jacobi,Total Patients Seen,20131210,20,#a8c1e5
Jacobi,Total Patients Seen,20131211,98,#6691d2
Jacobi,Total Patients Seen,20131212,95,#a8c1e5
Jacobi,Total Patients Seen,20131213,5,#2563bf
Jacobi,Total Patients Seen,20131214,8,#d3e0f2
Jacobi,Total Patients Seen,20131215,44,#a8c1e5
Jacobi,Total Patients Seen,20131216,31,#a8c1e5
Jacobi,Total Patients Seen,20131217,48,#6691d2
Jacobi,Total Patients Seen,20131218,85,#d3e0f2
Lincoln,3rd Next Available New,20131205,24,#a8c1e5
Lincoln,3rd Next Available New,20131206,63,#6691d2
Lincoln,3rd Next Available New,20131207,32,#6691d2
Lincoln,3rd Next Available New,20131208,90,#6691d2
Lincoln,3rd Next Available New,20131209,41,#2563bf
Lincoln,3rd Next Available New,20131210,99,#a8c1e5
Lincoln,3rd Next Available New,20131211,22,#2563bf
Lincoln,3rd Next Available New,20131212,1,#2563bf
Lincoln,3rd Next Available New,20131213,66,#a8c1e5
Lincoln,3rd Next Available New,20131214,89,#6691d2
Lincoln,3rd Next Available New,20131215,15,#2563bf
Lincoln,3rd Next Available New,20131216,72,#d3e0f2
Lincoln,3rd Next Available New,20131217,18,#d3e0f2
Lincoln,3rd Next Available New,20131218,81,#2563bf
Lincoln,3rd Next Avail Rvst,20131205,1,#a8c1e5
Lincoln,3rd Next Avail Rvst,20131206,7,#d3e0f2
Lincoln,3rd Next Avail Rvst,20131207,80,#2563bf
Lincoln,3rd Next Avail Rvst,20131208,77,#2563bf
Lincoln,3rd Next Avail Rvst,20131209,2,#2563bf
Lincoln,3rd Next Avail Rvst,20131210,70,#2563bf
Lincoln,3rd Next Avail Rvst,20131211,5,#a8c1e5
Lincoln,3rd Next Avail Rvst,20131212,72,#6691d2
Lincoln,3rd Next Avail Rvst,20131213,37,#2563bf
Lincoln,3rd Next Avail Rvst,20131214,95,#6691d2
Lincoln,3rd Next Avail Rvst,20131215,37,#a8c1e5
Lincoln,3rd Next Avail Rvst,20131216,6,#2563bf
Lincoln,3rd Next Avail Rvst,20131217,99,#2563bf
Lincoln,3rd Next Avail Rvst,20131218,19,#2563bf
Lincoln,Fill Rate,20131205,0,#d3e0f2
Lincoln,Fill Rate,20131206,68,#2563bf
Lincoln,Fill Rate,20131207,16,#a8c1e5
Lincoln,Fill Rate,20131208,51,#6691d2
Lincoln,Fill Rate,20131209,65,#2563bf
Lincoln,Fill Rate,20131210,57,#6691d2
Lincoln,Fill Rate,20131211,86,#6691d2
Lincoln,Fill Rate,20131212,73,#6691d2
Lincoln,Fill Rate,20131213,75,#d3e0f2
Lincoln,Fill Rate,20131214,93,#6691d2
Lincoln,Fill Rate,20131215,89,#6691d2
Lincoln,Fill Rate,20131216,73,#2563bf
Lincoln,Fill Rate,20131217,51,#6691d2
Lincoln,Fill Rate,20131218,70,#6691d2
Lincoln,No Show Rate,20131205,82,#a8c1e5
Lincoln,No Show Rate,20131206,47,#6691d2
Lincoln,No Show Rate,20131207,61,#a8c1e5
Lincoln,No Show Rate,20131208,79,#6691d2
Lincoln,No Show Rate,20131209,58,#a8c1e5
Lincoln,No Show Rate,20131210,53,#d3e0f2
Lincoln,No Show Rate,20131211,20,#a8c1e5
Lincoln,No Show Rate,20131212,42,#2563bf
Lincoln,No Show Rate,20131213,74,#6691d2
Lincoln,No Show Rate,20131214,85,#d3e0f2
Lincoln,No Show Rate,20131215,42,#d3e0f2
Lincoln,No Show Rate,20131216,59,#d3e0f2
Lincoln,No Show Rate,20131217,39,#6691d2
Lincoln,No Show Rate,20131218,88,#a8c1e5
Lincoln,In-Clinic Wait Time,20131205,76,#2563bf
Lincoln,In-Clinic Wait Time,20131206,96,#6691d2
Lincoln,In-Clinic Wait Time,20131207,71,#6691d2
Lincoln,In-Clinic Wait Time,20131208,18,#a8c1e5
Lincoln,In-Clinic Wait Time,20131209,41,#a8c1e5
Lincoln,In-Clinic Wait Time,20131210,69,#a8c1e5
Lincoln,In-Clinic Wait Time,20131211,71,#a8c1e5
Lincoln,In-Clinic Wait Time,20131212,58,#d3e0f2
Lincoln,In-Clinic Wait Time,20131213,72,#6691d2
Lincoln,In-Clinic Wait Time,20131214,47,#d3e0f2
Lincoln,In-Clinic Wait Time,20131215,30,#2563bf
Lincoln,In-Clinic Wait Time,20131216,36,#2563bf
Lincoln,In-Clinic Wait Time,20131217,87,#6691d2
Lincoln,In-Clinic Wait Time,20131218,9,#a8c1e5
Lincoln,Patient Satisfaction,20131205,80,#2563bf
Lincoln,Patient Satisfaction,20131206,28,#6691d2
Lincoln,Patient Satisfaction,20131207,88,#6691d2
Lincoln,Patient Satisfaction,20131208,76,#a8c1e5
Lincoln,Patient Satisfaction,20131209,26,#a8c1e5
Lincoln,Patient Satisfaction,20131210,36,#d3e0f2
Lincoln,Patient Satisfaction,20131211,95,#a8c1e5
Lincoln,Patient Satisfaction,20131212,69,#2563bf
Lincoln,Patient Satisfaction,20131213,40,#a8c1e5
Lincoln,Patient Satisfaction,20131214,71,#d3e0f2
Lincoln,Patient Satisfaction,20131215,12,#6691d2
Lincoln,Patient Satisfaction,20131216,61,#d3e0f2
Lincoln,Patient Satisfaction,20131217,4,#d3e0f2
Lincoln,Patient Satisfaction,20131218,32,#d3e0f2
Lincoln,Total Patients Seen,20131205,57,#a8c1e5
Lincoln,Total Patients Seen,20131206,3,#2563bf
Lincoln,Total Patients Seen,20131207,53,#2563bf
Lincoln,Total Patients Seen,20131208,19,#6691d2
Lincoln,Total Patients Seen,20131209,50,#2563bf
Lincoln,Total Patients Seen,20131210,37,#a8c1e5
Lincoln,Total Patients Seen,20131211,86,#d3e0f2
Lincoln,Total Patients Seen,20131212,86,#2563bf
Lincoln,Total Patients Seen,20131213,71,#2563bf
Lincoln,Total Patients Seen,20131214,6,#6691d2
Lincoln,Total Patients Seen,20131215,95,#2563bf
Lincoln,Total Patients Seen,20131216,65,#d3e0f2
Lincoln,Total Patients Seen,20131217,54,#2563bf
Lincoln,Total Patients Seen,20131218,78,#6691d2
Metropolitan,3rd Next Available New,20131205,74,#6691d2
Metropolitan,3rd Next Available New,20131206,79,#d3e0f2
Metropolitan,3rd Next Available New,20131207,87,#2563bf
Metropolitan,3rd Next Available New,20131208,7,#a8c1e5
Metropolitan,3rd Next Available New,20131209,17,#a8c1e5
Metropolitan,3rd Next Available New,20131210,64,#2563bf
Metropolitan,3rd Next Available New,20131211,40,#6691d2
Metropolitan,3rd Next Available New,20131212,54,#d3e0f2
Metropolitan,3rd Next Available New,20131213,30,#d3e0f2
Metropolitan,3rd Next Available New,20131214,53,#d3e0f2
Metropolitan,3rd Next Available New,20131215,53,#6691d2
Metropolitan,3rd Next Available New,20131216,13,#2563bf
Metropolitan,3rd Next Available New,20131217,86,#a8c1e5
Metropolitan,3rd Next Available New,20131218,68,#a8c1e5
Metropolitan,3rd Next Avail Rvst,20131205,28,#a8c1e5
Metropolitan,3rd Next Avail Rvst,20131206,67,#2563bf
Metropolitan,3rd Next Avail Rvst,20131207,78,#2563bf
Metropolitan,3rd Next Avail Rvst,20131208,5,#2563bf
Metropolitan,3rd Next Avail Rvst,20131209,78,#d3e0f2
Metropolitan,3rd Next Avail Rvst,20131210,8,#2563bf
Metropolitan,3rd Next Avail Rvst,20131211,69,#d3e0f2
Metropolitan,3rd Next Avail Rvst,20131212,36,#a8c1e5
Metropolitan,3rd Next Avail Rvst,20131213,44,#2563bf
Metropolitan,3rd Next Avail Rvst,20131214,36,#d3e0f2
Metropolitan,3rd Next Avail Rvst,20131215,64,#2563bf
Metropolitan,3rd Next Avail Rvst,20131216,84,#d3e0f2
Metropolitan,3rd Next Avail Rvst,20131217,95,#a8c1e5
Metropolitan,3rd Next Avail Rvst,20131218,62,#d3e0f2
Metropolitan,Fill Rate,20131205,14,#2563bf
Metropolitan,Fill Rate,20131206,77,#a8c1e5
Metropolitan,Fill Rate,20131207,17,#a8c1e5
Metropolitan,Fill Rate,20131208,94,#d3e0f2
Metropolitan,Fill Rate,20131209,5,#a8c1e5
Metropolitan,Fill Rate,20131210,36,#d3e0f2
Metropolitan,Fill Rate,20131211,28,#d3e0f2
Metropolitan,Fill Rate,20131212,94,#a8c1e5
Metropolitan,Fill Rate,20131213,30,#a8c1e5
Metropolitan,Fill Rate,20131214,38,#2563bf
Metropolitan,Fill Rate,20131215,12,#d3e0f2
Metropolitan,Fill Rate,20131216,35,#d3e0f2
Metropolitan,Fill Rate,20131217,45,#d3e0f2
Metropolitan,Fill Rate,20131218,33,#6691d2
Metropolitan,No Show Rate,20131205,71,#6691d2
Metropolitan,No Show Rate,20131206,7,#2563bf
Metropolitan,No Show Rate,20131207,5,#2563bf
Metropolitan,No Show Rate,20131208,46,#d3e0f2
Metropolitan,No Show Rate,20131209,91,#6691d2
Metropolitan,No Show Rate,20131210,44,#a8c1e5
Metropolitan,No Show Rate,20131211,99,#6691d2
Metropolitan,No Show Rate,20131212,59,#d3e0f2
Metropolitan,No Show Rate,20131213,52,#d3e0f2
Metropolitan,No Show Rate,20131214,89,#6691d2
Metropolitan,No Show Rate,20131215,42,#2563bf
Metropolitan,No Show Rate,20131216,76,#2563bf
Metropolitan,No Show Rate,20131217,69,#6691d2
Metropolitan,No Show Rate,20131218,70,#6691d2
Metropolitan,In-Clinic Wait Time,20131205,53,#a8c1e5
Metropolitan,In-Clinic Wait Time,20131206,24,#a8c1e5
Metropolitan,In-Clinic Wait Time,20131207,97,#a8c1e5
Metropolitan,In-Clinic Wait Time,20131208,12,#6691d2
Metropolitan,In-Clinic Wait Time,20131209,25,#2563bf
Metropolitan,In-Clinic Wait Time,20131210,35,#6691d2
Metropolitan,In-Clinic Wait Time,20131211,31,#2563bf
Metropolitan,In-Clinic Wait Time,20131212,66,#a8c1e5
Metropolitan,In-Clinic Wait Time,20131213,73,#d3e0f2
Metropolitan,In-Clinic Wait Time,20131214,67,#2563bf
Metropolitan,In-Clinic Wait Time,20131215,84,#6691d2
Metropolitan,In-Clinic Wait Time,20131216,76,#2563bf
Metropolitan,In-Clinic Wait Time,20131217,1,#6691d2
Metropolitan,In-Clinic Wait Time,20131218,92,#2563bf
Metropolitan,Patient Satisfaction,20131205,98,#d3e0f2
Metropolitan,Patient Satisfaction,20131206,21,#2563bf
Metropolitan,Patient Satisfaction,20131207,83,#2563bf
Metropolitan,Patient Satisfaction,20131208,39,#d3e0f2
Metropolitan,Patient Satisfaction,20131209,59,#d3e0f2
Metropolitan,Patient Satisfaction,20131210,31,#2563bf
Metropolitan,Patient Satisfaction,20131211,80,#6691d2
Metropolitan,Patient Satisfaction,20131212,51,#6691d2
Metropolitan,Patient Satisfaction,20131213,9,#2563bf
Metropolitan,Patient Satisfaction,20131214,3,#6691d2
Metropolitan,Patient Satisfaction,20131215,33,#d3e0f2
Metropolitan,Patient Satisfaction,20131216,28,#a8c1e5
Metropolitan,Patient Satisfaction,20131217,8,#2563bf
Metropolitan,Patient Satisfaction,20131218,24,#a8c1e5
Metropolitan,Total Patients Seen,20131205,91,#d3e0f2
Metropolitan,Total Patients Seen,20131206,63,#d3e0f2
Metropolitan,Total Patients Seen,20131207,71,#d3e0f2
Metropolitan,Total Patients Seen,20131208,21,#2563bf
Metropolitan,Total Patients Seen,20131209,99,#6691d2
Metropolitan,Total Patients Seen,20131210,46,#6691d2
Metropolitan,Total Patients Seen,20131211,57,#a8c1e5
Metropolitan,Total Patients Seen,20131212,25,#a8c1e5
Metropolitan,Total Patients Seen,20131213,22,#2563bf
Metropolitan,Total Patients Seen,20131214,7,#2563bf
Metropolitan,Total Patients Seen,20131215,60,#a8c1e5
Metropolitan,Total Patients Seen,20131216,58,#2563bf
Metropolitan,Total Patients Seen,20131217,30,#a8c1e5
Metropolitan,Total Patients Seen,20131218,31,#2563bf
Kings,3rd Next Available New,20131205,89,#a8c1e5
Kings,3rd Next Available New,20131206,39,#d3e0f2
Kings,3rd Next Available New,20131207,34,#d3e0f2
Kings,3rd Next Available New,20131208,14,#6691d2
Kings,3rd Next Available New,20131209,56,#6691d2
Kings,3rd Next Available New,20131210,1,#a8c1e5
Kings,3rd Next Available New,20131211,34,#2563bf
Kings,3rd Next Available New,20131212,23,#d3e0f2
Kings,3rd Next Available New,20131213,69,#d3e0f2
Kings,3rd Next Available New,20131214,67,#a8c1e5
Kings,3rd Next Available New,20131215,70,#a8c1e5
Kings,3rd Next Available New,20131216,24,#a8c1e5
Kings,3rd Next Available New,20131217,90,#6691d2
Kings,3rd Next Available New,20131218,78,#2563bf
Kings,3rd Next Avail Rvst,20131205,30,#a8c1e5
Kings,3rd Next Avail Rvst,20131206,95,#a8c1e5
Kings,3rd Next Avail Rvst,20131207,46,#d3e0f2
Kings,3rd Next Avail Rvst,20131208,24,#6691d2
Kings,3rd Next Avail Rvst,20131209,54,#d3e0f2
Kings,3rd Next Avail Rvst,20131210,65,#a8c1e5
Kings,3rd Next Avail Rvst,20131211,37,#2563bf
Kings,3rd Next Avail Rvst,20131212,52,#6691d2
Kings,3rd Next Avail Rvst,20131213,2,#d3e0f2
Kings,3rd Next Avail Rvst,20131214,13,#d3e0f2
Kings,3rd Next Avail Rvst,20131215,82,#2563bf
Kings,3rd Next Avail Rvst,20131216,23,#a8c1e5
Kings,3rd Next Avail Rvst,20131217,97,#d3e0f2
Kings,3rd Next Avail Rvst,20131218,72,#a8c1e5
Kings,Fill Rate,20131205,43,#a8c1e5
Kings,Fill Rate,20131206,12,#d3e0f2
Kings,Fill Rate,20131207,58,#d3e0f2
Kings,Fill Rate,20131208,90,#a8c1e5
Kings,Fill Rate,20131209,97,#d3e0f2
Kings,Fill Rate,20131210,91,#6691d2
Kings,Fill Rate,20131211,10,#d3e0f2
Kings,Fill Rate,20131212,58,#6691d2
Kings,Fill Rate,20131213,6,#2563bf
Kings,Fill Rate,20131214,79,#a8c1e5
Kings,Fill Rate,20131215,18,#2563bf
Kings,Fill Rate,20131216,34,#6691d2
Kings,Fill Rate,20131217,70,#a8c1e5
Kings,Fill Rate,20131218,77,#a8c1e5
Kings,No Show Rate,20131205,48,#a8c1e5
Kings,No Show Rate,20131206,5,#2563bf
Kings,No Show Rate,20131207,25,#d3e0f2
Kings,No Show Rate,20131208,24,#a8c1e5
Kings,No Show Rate,20131209,19,#6691d2
Kings,No Show Rate,20131210,32,#6691d2
Kings,No Show Rate,20131211,5,#d3e0f2
Kings,No Show Rate,20131212,89,#d3e0f2
Kings,No Show Rate,20131213,90,#a8c1e5
Kings,No Show Rate,20131214,42,#2563bf
Kings,No Show Rate,20131215,95,#6691d2
Kings,No Show Rate,20131216,48,#2563bf
Kings,No Show Rate,20131217,12,#a8c1e5
Kings,No Show Rate,20131218,72,#a8c1e5
Kings,In-Clinic Wait Time,20131205,75,#a8c1e5
Kings,In-Clinic Wait Time,20131206,60,#2563bf
Kings,In-Clinic Wait Time,20131207,32,#a8c1e5
Kings,In-Clinic Wait Time,20131208,23,#a8c1e5
Kings,In-Clinic Wait Time,20131209,38,#6691d2
Kings,In-Clinic Wait Time,20131210,17,#2563bf
Kings,In-Clinic Wait Time,20131211,4,#2563bf
Kings,In-Clinic Wait Time,20131212,94,#d3e0f2
Kings,In-Clinic Wait Time,20131213,8,#d3e0f2
Kings,In-Clinic Wait Time,20131214,71,#2563bf
Kings,In-Clinic Wait Time,20131215,42,#a8c1e5
Kings,In-Clinic Wait Time,20131216,25,#a8c1e5
Kings,In-Clinic Wait Time,20131217,37,#6691d2
Kings,In-Clinic Wait Time,20131218,14,#2563bf
Kings,Patient Satisfaction,20131205,26,#a8c1e5
Kings,Patient Satisfaction,20131206,79,#d3e0f2
Kings,Patient Satisfaction,20131207,25,#d3e0f2
Kings,Patient Satisfaction,20131208,52,#a8c1e5
Kings,Patient Satisfaction,20131209,57,#a8c1e5
Kings,Patient Satisfaction,20131210,86,#d3e0f2
Kings,Patient Satisfaction,20131211,87,#2563bf
Kings,Patient Satisfaction,20131212,87,#2563bf
Kings,Patient Satisfaction,20131213,8,#a8c1e5
Kings,Patient Satisfaction,20131214,72,#6691d2
Kings,Patient Satisfaction,20131215,11,#6691d2
Kings,Patient Satisfaction,20131216,86,#2563bf
Kings,Patient Satisfaction,20131217,30,#a8c1e5
Kings,Patient Satisfaction,20131218,53,#d3e0f2
Kings,Total Patients Seen,20131205,25,#2563bf
Kings,Total Patients Seen,20131206,32,#a8c1e5
Kings,Total Patients Seen,20131207,63,#2563bf
Kings,Total Patients Seen,20131208,40,#2563bf
Kings,Total Patients Seen,20131209,74,#d3e0f2
Kings,Total Patients Seen,20131210,96,#2563bf
Kings,Total Patients Seen,20131211,69,#d3e0f2
Kings,Total Patients Seen,20131212,65,#a8c1e5
Kings,Total Patients Seen,20131213,29,#6691d2
Kings,Total Patients Seen,20131214,36,#6691d2
Kings,Total Patients Seen,20131215,43,#6691d2
Kings,Total Patients Seen,20131216,36,#a8c1e5
